id,data,nome_cliente,produto,categoria,quantidade,preco
1,2026-09-01,Ana Silva,Notebook,Eletrônicos,1,3500.00
2,2026-09-02,João Santos,Mouse,eletrônicos,2,80.00
3,2026-09-03,Maria Oliveira,Teclado,ELETRÔNICOS,1,150.00
4,2026-09-04,Carlos Souza,Cadeira,Móveis,1,900.00
5,2026-09-05,Ana Silva,Monitor,Eletrônicos,2,
6,2026-09-06,João Santos,Mesa,Móveis,1,700.00
7,2026-09-07,Pedro Lima,Fone de ouvido,Eletrônicos,3,120.00
8,2026-09-08,Maria Oliveira,Cadeira,Móveis,2,900.00
9,2026-09-09,Carlos Souza,Notebook,Eletrônicos,1,3500.00
10,2026-09-10,Ana Silva,Mouse,Eletrônicos,1,80.00
10,2026-09-10,Ana Silva,Mouse,Eletrônicos,1,80.00
